,arch_name,arch,config,Num_conv,Num_denses,Num_pooling,Num_normalization,Num_droputs,KW,Filters,drop_ratio,num_simulation,folder,metric_presets,tags,accuracy,precision,recall,f1_score,roc_auc
22,architecture_3conv_3dense_12,"['C', 'C', 'N', 'P', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,1,0,50_cte,16_cte,0.5_cte,sim_8,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
23,architecture_3conv_3dense_12,"['C', 'C', 'N', 'P', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,1,0,5_cte,16_cte,0.5_cte,sim_7,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
24,architecture_3conv_3dense_13,"['C', 'C', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,0,3,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_None', 'P_None', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
25,architecture_3conv_3dense_13,"['C', 'C', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,0,3,5_cte,16_cte,0.5_cte,sim_6,fold_1,['ClassificationPreset'],"['N_None', 'P_None', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
26,architecture_3conv_3dense_14,"['C', 'C', 'C', 'N', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,1,3,50_cte,16_cte,0.5_cte,sim_7,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
27,architecture_3conv_3dense_14,"['C', 'C', 'C', 'N', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,1,3,5_cte,16_cte,0.5_cte,sim_6,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
28,architecture_3conv_3dense_15,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,3,3,50_cte,16_cte,0.5_cte,sim_8,fold_2,['ClassificationPreset'],"['N_Full', 'P_None', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
29,architecture_3conv_3dense_15,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,3,3,5_cte,16_cte,0.5_cte,sim_9,fold_1,['ClassificationPreset'],"['N_Full', 'P_None', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
30,architecture_3conv_3dense_16,"['C', 'C', 'N', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,1,3,50_cte,16_cte,0.5_cte,sim_3,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
31,architecture_3conv_3dense_16,"['C', 'C', 'N', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,1,3,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
32,architecture_3conv_3dense_17,"['C', 'C', 'C', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,0,3,50_cte,16_cte,0.5_cte,sim_2,fold_3,['ClassificationPreset'],"['N_None', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
33,architecture_3conv_3dense_17,"['C', 'C', 'C', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,0,3,5_cte,16_cte,0.5_cte,sim_9,fold_1,['ClassificationPreset'],"['N_None', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
